hotel,price,score,avg review,reviews count,address,date
YOTEL Geneva Lake,CHF 128,"8.7
Scored 8.7",Excellent,145,Founex,2024-05-25
Hotel Walhalla,CHF 265,"8.7
Scored 8.7",Excellent,"5,753",St. Gallen,2024-05-25
Q.C.M. Campus,CHF 105,"8.7
Scored 8.7",Excellent,710,Belp,2024-05-25
Hotel Alpina,CHF 96,"8.5
Scored 8.5",Very Good,"1,853",Kandersteg,2024-05-25
Capsule Hotel - Alpine Garden Zurich Airport,CHF 78,"8.3
Scored 8.3",Very Good,"8,527",Kloten,2024-05-25
Hôtel des Bains d'Ovronnaz,CHF 147,"7.4
Scored 7.4",Good,"2,351",Ovronnaz,2024-05-25
Hotel Taescherhof,CHF 100,"8.7
Scored 8.7",Excellent,377,Täsch,2024-05-25
Moxy Sion,CHF 112,"8.3
Scored 8.3",Very Good,"2,496",Sion,2024-05-25
City Hotel Biel Bienne Free Parking,CHF 120,"7.5
Scored 7.5",Good,"4,459",Biel,2024-05-25
Eden Hotel und Restaurant,CHF 128,"8.7
Scored 8.7",Excellent,"1,420",Ilanz,2024-05-25
B&B HOTEL Basel,CHF 103,"7.8
Scored 7.8",Good,"7,630",Basel,2024-05-25
Hotel Lindenhof by Crossworld AG,CHF 336,"7.7
Scored 7.7",Good,"2,073",Brienz,2024-05-25
Hotel Wartmann am Bahnhof,CHF 116,"8.3
Scored 8.3",Very Good,"2,854",Winterthur,2024-05-25
Hôtel Le Grand Chalet,CHF 203,"8.7
Scored 8.7",Excellent,"1,239",Leysin,2024-05-25
Hotel Garni Muralto,CHF 279,"8.7
Scored 8.7",Excellent,"4,549","Muralto, Locarno",2024-05-25
Zermatt Youth Hostel,CHF 60,"8.2
Scored 8.2",Very Good,"2,211",Zermatt,2024-05-25
Central Hotel Post,CHF 172,"8.3
Scored 8.3",Very Good,"3,053",Chur,2024-05-25
H4 Hotel Solothurn,CHF 207,"8.3
Scored 8.3",Very Good,"3,109",Solothurn,2024-05-25
Best Western Premier Hotel Beaulac,CHF 227,"8.3
Scored 8.3",Very Good,"2,834",Neuchâtel,2024-05-25
Eurotel Montreux,CHF 484,"8.3
Scored 8.3",Very Good,"6,945","Montreux City Centre, Montreux",2024-05-25
capsule hotel lucerne,CHF 108,"8.1
Scored 8.1",Very Good,"1,465","Old Town, Lucerne",2024-05-25
Hotel Work Life Residence am Bahnhof,CHF 123,"7.7
Scored 7.7",Good,"1,622",Winterthur,2024-05-25
Ambiente Hotel Freieck,CHF 113,"8.5
Scored 8.5",Very Good,"3,020",Chur,2024-05-25
Jura Sport & Spa Resort,CHF 128,"7.9
Scored 7.9",Good,804,Saignelégier,2024-05-25
Hôtel du Rhône,CHF 125,"8.0
Scored 8.0",Very Good,"1,662",Sion,2024-05-25
Hotel Bellinzona Sud Swiss Quality,CHF 117,"8.5
Scored 8.5",Very Good,"2,631",Monte Carasso,2024-05-25
St. Moritz Youth Hostel,CHF 60,"8.1
Scored 8.1",Very Good,"1,573",St. Moritz,2024-05-25
Hotel Eden Palace au Lac,CHF 205,"7.9
Scored 7.9",Good,"2,993","Montreux City Centre, Montreux",2024-05-25
"Holiday Inn Express - Aarburg - Oftringen, an IHG Hotel",CHF 138,"8.6
Scored 8.6",Excellent,"2,244",Oftringen,2024-05-25
VISIONAPARTMENTS Rue des Communaux - contactless check-in,CHF 102,"7.8
Scored 7.8",Good,"2,158",Vevey,2024-05-25
Garni-Hotel Mühletal,CHF 95,"7.5
Scored 7.5",Good,"1,437",Stein am Rhein,2024-05-25
Seedamm Plaza,CHF 193,"8.4
Scored 8.4",Very Good,"1,311",Pfäffikon,2024-05-25
Alpine Classic Hotel,CHF 132,"7.7
Scored 7.7",Good,946,Leysin,2024-05-25
"Holiday Inn Express Zürich Airport, an IHG Hotel",CHF 142,"8.3
Scored 8.3",Very Good,"7,157",Rümlang,2024-05-25
Hôtel du Cheval Blanc - City center,CHF 122,"8.3
Scored 8.3",Very Good,"1,353",Bulle,2024-05-25
Kurhaus Cademario Hotel & DOT Spa - Ticino Hotels Group,CHF 212,"8.6
Scored 8.6",Excellent,"1,560",Cademario,2024-05-25
B&B HOTEL St Gallen,CHF 108,"8.3
Scored 8.3",Very Good,"3,994",St. Gallen,2024-05-25
HYPERION Hotel Basel,CHF 192,"8.4
Scored 8.4",Very Good,"7,963","Basel City Centre, Basel",2024-05-25
Poschiavo Suisse Hotel,CHF 103,"8.4
Scored 8.4",Very Good,940,Poschiavo,2024-05-25
Ramada by Wyndham Baden Hotel du Parc,CHF 165,"8.0
Scored 8.0",Very Good,864,Baden,2024-05-25
Stay KooooK Bern City - Online Check In,CHF 206,"8.8
Scored 8.8",Excellent,"2,236","Old City of Bern, Bern",2024-05-25
